TEMPORAL;TERRITORIO;INSCRIPCION;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
2016;04;;00;04;ANDALUCES;622.0;A
2016;04;;00;11;ANDALUCES;5.0;A
2016;04;;00;14;ANDALUCES;4.0;A
2016;04;;00;18;ANDALUCES;27.0;A
2016;04;;00;21;ANDALUCES;1.0;A
2016;04;;00;23;ANDALUCES;8.0;A
2016;04;;00;29;ANDALUCES;8.0;A
2016;04;;00;41;ANDALUCES;6.0;A
2016;04;;00;C01;ANDALUCES;681.0;A
2016;04;;00;C02;ANDALUCES;128.0;A
2016;04;;00;66;ANDALUCES;2417.0;A
2016;04;;00;NC000;ANDALUCES;1.0;A
2016;04;;00;00;ANDALUCES;3227.0;A
2016;04;;01;04;ANDALUCES;343.0;A
2016;04;;01;11;ANDALUCES;5.0;A
2016;04;;01;14;ANDALUCES;4.0;A
2016;04;;01;18;ANDALUCES;15.0;A
2016;04;;01;21;ANDALUCES;1.0;A
2016;04;;01;23;ANDALUCES;2.0;A
2016;04;;01;29;ANDALUCES;5.0;A
2016;04;;01;41;ANDALUCES;3.0;A
2016;04;;01;C01;ANDALUCES;378.0;A
2016;04;;01;C02;ANDALUCES;67.0;A
2016;04;;01;66;ANDALUCES;1207.0;A
2016;04;;01;NC000;ANDALUCES;1.0;A
2016;04;;01;00;ANDALUCES;1653.0;A
2016;04;;06;04;ANDALUCES;279.0;A
2016;04;;06;18;ANDALUCES;12.0;A
2016;04;;06;23;ANDALUCES;6.0;A
2016;04;;06;29;ANDALUCES;3.0;A
2016;04;;06;41;ANDALUCES;3.0;A
2016;04;;06;C01;ANDALUCES;303.0;A
2016;04;;06;C02;ANDALUCES;61.0;A
2016;04;;06;66;ANDALUCES;1210.0;A
2016;04;;06;00;ANDALUCES;1574.0;A
2016;11;;00;11;ANDALUCES;1197.0;A
2016;11;;00;14;ANDALUCES;13.0;A
2016;11;;00;18;ANDALUCES;8.0;A
2016;11;;00;21;ANDALUCES;6.0;A
2016;11;;00;23;ANDALUCES;5.0;A
2016;11;;00;29;ANDALUCES;16.0;A
2016;11;;00;41;ANDALUCES;54.0;A
2016;11;;00;C01;ANDALUCES;1299.0;A
2016;11;;00;C02;ANDALUCES;185.0;A
2016;11;;00;66;ANDALUCES;1025.0;A
2016;11;;00;00;ANDALUCES;2509.0;A
2016;11;;01;11;ANDALUCES;647.0;A
2016;11;;01;14;ANDALUCES;6.0;A
2016;11;;01;18;ANDALUCES;7.0;A
2016;11;;01;21;ANDALUCES;4.0;A
2016;11;;01;23;ANDALUCES;3.0;A
2016;11;;01;29;ANDALUCES;6.0;A
2016;11;;01;41;ANDALUCES;26.0;A
2016;11;;01;C01;ANDALUCES;699.0;A
2016;11;;01;C02;ANDALUCES;93.0;A
2016;11;;01;66;ANDALUCES;493.0;A
2016;11;;01;00;ANDALUCES;1285.0;A
2016;11;;06;11;ANDALUCES;550.0;A
2016;11;;06;14;ANDALUCES;7.0;A
2016;11;;06;18;ANDALUCES;1.0;A
2016;11;;06;21;ANDALUCES;2.0;A
2016;11;;06;23;ANDALUCES;2.0;A
2016;11;;06;29;ANDALUCES;10.0;A
2016;11;;06;41;ANDALUCES;28.0;A
2016;11;;06;C01;ANDALUCES;600.0;A
2016;11;;06;C02;ANDALUCES;92.0;A
2016;11;;06;66;ANDALUCES;532.0;A
2016;11;;06;00;ANDALUCES;1224.0;A
2016;14;;00;11;ANDALUCES;6.0;A
2016;14;;00;14;ANDALUCES;538.0;A
2016;14;;00;18;ANDALUCES;8.0;A
2016;14;;00;23;ANDALUCES;5.0;A
2016;14;;00;29;ANDALUCES;6.0;A
2016;14;;00;41;ANDALUCES;10.0;A
2016;14;;00;C01;ANDALUCES;573.0;A
2016;14;;00;C02;ANDALUCES;69.0;A
2016;14;;00;66;ANDALUCES;505.0;A
2016;14;;00;00;ANDALUCES;1147.0;A
2016;14;;01;11;ANDALUCES;2.0;A
2016;14;;01;14;ANDALUCES;286.0;A
2016;14;;01;18;ANDALUCES;5.0;A
2016;14;;01;23;ANDALUCES;3.0;A
2016;14;;01;29;ANDALUCES;1.0;A
2016;14;;01;41;ANDALUCES;4.0;A
2016;14;;01;C01;ANDALUCES;301.0;A
2016;14;;01;C02;ANDALUCES;43.0;A
2016;14;;01;66;ANDALUCES;253.0;A
2016;14;;01;00;ANDALUCES;597.0;A
2016;14;;06;11;ANDALUCES;4.0;A
2016;14;;06;14;ANDALUCES;252.0;A
2016;14;;06;18;ANDALUCES;3.0;A
2016;14;;06;23;ANDALUCES;2.0;A
2016;14;;06;29;ANDALUCES;5.0;A
2016;14;;06;41;ANDALUCES;6.0;A
2016;14;;06;C01;ANDALUCES;272.0;A
2016;14;;06;C02;ANDALUCES;26.0;A
2016;14;;06;66;ANDALUCES;252.0;A
2016;14;;06;00;ANDALUCES;550.0;A
2016;18;;00;04;ANDALUCES;18.0;A
2016;18;;00;11;ANDALUCES;16.0;A
2016;18;;00;14;ANDALUCES;11.0;A
2016;18;;00;18;ANDALUCES;1058.0;A
2016;18;;00;21;ANDALUCES;1.0;A
2016;18;;00;23;ANDALUCES;19.0;A
2016;18;;00;29;ANDALUCES;16.0;A
2016;18;;00;41;ANDALUCES;16.0;A
2016;18;;00;C01;ANDALUCES;1155.0;A
2016;18;;00;C02;ANDALUCES;170.0;A
2016;18;;00;66;ANDALUCES;2560.0;A
2016;18;;00;00;ANDALUCES;3885.0;A
2016;18;;01;04;ANDALUCES;8.0;A
2016;18;;01;11;ANDALUCES;7.0;A
2016;18;;01;14;ANDALUCES;6.0;A
2016;18;;01;18;ANDALUCES;572.0;A
2016;18;;01;21;ANDALUCES;1.0;A
2016;18;;01;23;ANDALUCES;8.0;A
2016;18;;01;29;ANDALUCES;6.0;A
2016;18;;01;41;ANDALUCES;9.0;A
2016;18;;01;C01;ANDALUCES;617.0;A
2016;18;;01;C02;ANDALUCES;91.0;A
2016;18;;01;66;ANDALUCES;1247.0;A
2016;18;;01;00;ANDALUCES;1955.0;A
2016;18;;06;04;ANDALUCES;10.0;A
2016;18;;06;11;ANDALUCES;9.0;A
2016;18;;06;14;ANDALUCES;5.0;A
2016;18;;06;18;ANDALUCES;486.0;A
2016;18;;06;23;ANDALUCES;11.0;A
2016;18;;06;29;ANDALUCES;10.0;A
2016;18;;06;41;ANDALUCES;7.0;A
2016;18;;06;C01;ANDALUCES;538.0;A
2016;18;;06;C02;ANDALUCES;79.0;A
2016;18;;06;66;ANDALUCES;1313.0;A
2016;18;;06;00;ANDALUCES;1930.0;A
2016;21;;00;11;ANDALUCES;4.0;A
2016;21;;00;14;ANDALUCES;3.0;A
2016;21;;00;18;ANDALUCES;2.0;A
2016;21;;00;21;ANDALUCES;297.0;A
2016;21;;00;23;ANDALUCES;2.0;A
2016;21;;00;29;ANDALUCES;4.0;A
2016;21;;00;41;ANDALUCES;20.0;A
2016;21;;00;C01;ANDALUCES;332.0;A
2016;21;;00;C02;ANDALUCES;33.0;A
2016;21;;00;66;ANDALUCES;286.0;A
2016;21;;00;00;ANDALUCES;651.0;A
2016;21;;01;11;ANDALUCES;2.0;A
2016;21;;01;14;ANDALUCES;2.0;A
2016;21;;01;21;ANDALUCES;158.0;A
2016;21;;01;29;ANDALUCES;2.0;A
2016;21;;01;41;ANDALUCES;11.0;A
2016;21;;01;C01;ANDALUCES;175.0;A
2016;21;;01;C02;ANDALUCES;21.0;A
2016;21;;01;66;ANDALUCES;146.0;A
2016;21;;01;00;ANDALUCES;342.0;A
2016;21;;06;11;ANDALUCES;2.0;A
2016;21;;06;14;ANDALUCES;1.0;A
2016;21;;06;18;ANDALUCES;2.0;A
2016;21;;06;21;ANDALUCES;139.0;A
2016;21;;06;23;ANDALUCES;2.0;A
2016;21;;06;29;ANDALUCES;2.0;A
2016;21;;06;41;ANDALUCES;9.0;A
2016;21;;06;C01;ANDALUCES;157.0;A
2016;21;;06;C02;ANDALUCES;12.0;A
2016;21;;06;66;ANDALUCES;140.0;A
2016;21;;06;00;ANDALUCES;309.0;A
2016;23;;00;04;ANDALUCES;1.0;A
2016;23;;00;11;ANDALUCES;3.0;A
2016;23;;00;14;ANDALUCES;5.0;A
2016;23;;00;18;ANDALUCES;12.0;A
2016;23;;00;23;ANDALUCES;461.0;A
2016;23;;00;29;ANDALUCES;2.0;A
2016;23;;00;41;ANDALUCES;2.0;A
2016;23;;00;C01;ANDALUCES;486.0;A
2016;23;;00;C02;ANDALUCES;55.0;A
2016;23;;00;66;ANDALUCES;499.0;A
2016;23;;00;NC000;ANDALUCES;2.0;A
2016;23;;00;00;ANDALUCES;1042.0;A
2016;23;;01;04;ANDALUCES;1.0;A
2016;23;;01;11;ANDALUCES;3.0;A
2016;23;;01;14;ANDALUCES;2.0;A
2016;23;;01;18;ANDALUCES;7.0;A
2016;23;;01;23;ANDALUCES;241.0;A
2016;23;;01;41;ANDALUCES;2.0;A
2016;23;;01;C01;ANDALUCES;256.0;A
2016;23;;01;C02;ANDALUCES;30.0;A
2016;23;;01;66;ANDALUCES;256.0;A
2016;23;;01;NC000;ANDALUCES;1.0;A
2016;23;;01;00;ANDALUCES;543.0;A
2016;23;;06;14;ANDALUCES;3.0;A
2016;23;;06;18;ANDALUCES;5.0;A
2016;23;;06;23;ANDALUCES;220.0;A
2016;23;;06;29;ANDALUCES;2.0;A
2016;23;;06;C01;ANDALUCES;230.0;A
2016;23;;06;C02;ANDALUCES;25.0;A
2016;23;;06;66;ANDALUCES;243.0;A
2016;23;;06;NC000;ANDALUCES;1.0;A
2016;23;;06;00;ANDALUCES;499.0;A
2016;29;;00;04;ANDALUCES;10.0;A
2016;29;;00;11;ANDALUCES;64.0;A
2016;29;;00;14;ANDALUCES;46.0;A
2016;29;;00;18;ANDALUCES;44.0;A
2016;29;;00;21;ANDALUCES;6.0;A
2016;29;;00;23;ANDALUCES;23.0;A
2016;29;;00;29;ANDALUCES;1604.0;A
2016;29;;00;41;ANDALUCES;27.0;A
2016;29;;00;C01;ANDALUCES;1824.0;A
2016;29;;00;C02;ANDALUCES;404.0;A
2016;29;;00;66;ANDALUCES;3175.0;A
2016;29;;00;00;ANDALUCES;5403.0;A
2016;29;;01;04;ANDALUCES;6.0;A
2016;29;;01;11;ANDALUCES;37.0;A
2016;29;;01;14;ANDALUCES;21.0;A
2016;29;;01;18;ANDALUCES;27.0;A
2016;29;;01;21;ANDALUCES;5.0;A
2016;29;;01;23;ANDALUCES;14.0;A
2016;29;;01;29;ANDALUCES;821.0;A
2016;29;;01;41;ANDALUCES;16.0;A
2016;29;;01;C01;ANDALUCES;947.0;A
2016;29;;01;C02;ANDALUCES;221.0;A
2016;29;;01;66;ANDALUCES;1627.0;A
2016;29;;01;00;ANDALUCES;2795.0;A
2016;29;;06;04;ANDALUCES;4.0;A
2016;29;;06;11;ANDALUCES;27.0;A
2016;29;;06;14;ANDALUCES;25.0;A
2016;29;;06;18;ANDALUCES;17.0;A
2016;29;;06;21;ANDALUCES;1.0;A
2016;29;;06;23;ANDALUCES;9.0;A
2016;29;;06;29;ANDALUCES;783.0;A
2016;29;;06;41;ANDALUCES;11.0;A
2016;29;;06;C01;ANDALUCES;877.0;A
2016;29;;06;C02;ANDALUCES;183.0;A
2016;29;;06;66;ANDALUCES;1548.0;A
2016;29;;06;00;ANDALUCES;2608.0;A
2016;41;;00;04;ANDALUCES;2.0;A
2016;41;;00;11;ANDALUCES;76.0;A
2016;41;;00;14;ANDALUCES;35.0;A
2016;41;;00;18;ANDALUCES;18.0;A
2016;41;;00;21;ANDALUCES;36.0;A
2016;41;;00;23;ANDALUCES;15.0;A
2016;41;;00;29;ANDALUCES;24.0;A
2016;41;;00;41;ANDALUCES;1601.0;A
2016;41;;00;C01;ANDALUCES;1807.0;A
2016;41;;00;C02;ANDALUCES;288.0;A
2016;41;;00;66;ANDALUCES;1573.0;A
2016;41;;00;00;ANDALUCES;3668.0;A
2016;41;;01;11;ANDALUCES;44.0;A
2016;41;;01;14;ANDALUCES;19.0;A
2016;41;;01;18;ANDALUCES;9.0;A
2016;41;;01;21;ANDALUCES;23.0;A
2016;41;;01;23;ANDALUCES;7.0;A
2016;41;;01;29;ANDALUCES;11.0;A
2016;41;;01;41;ANDALUCES;852.0;A
2016;41;;01;C01;ANDALUCES;965.0;A
2016;41;;01;C02;ANDALUCES;173.0;A
2016;41;;01;66;ANDALUCES;748.0;A
2016;41;;01;00;ANDALUCES;1886.0;A
2016;41;;06;04;ANDALUCES;2.0;A
2016;41;;06;11;ANDALUCES;32.0;A
2016;41;;06;14;ANDALUCES;16.0;A
2016;41;;06;18;ANDALUCES;9.0;A
2016;41;;06;21;ANDALUCES;13.0;A
2016;41;;06;23;ANDALUCES;8.0;A
2016;41;;06;29;ANDALUCES;13.0;A
2016;41;;06;41;ANDALUCES;749.0;A
2016;41;;06;C01;ANDALUCES;842.0;A
2016;41;;06;C02;ANDALUCES;115.0;A
2016;41;;06;66;ANDALUCES;825.0;A
2016;41;;06;00;ANDALUCES;1782.0;A
2016;;;00;04;ANDALUCES;653.0;A
2016;;;00;11;ANDALUCES;1371.0;A
2016;;;00;14;ANDALUCES;655.0;A
2016;;;00;18;ANDALUCES;1177.0;A
2016;;;00;21;ANDALUCES;347.0;A
2016;;;00;23;ANDALUCES;538.0;A
2016;;;00;29;ANDALUCES;1680.0;A
2016;;;00;41;ANDALUCES;1736.0;A
2016;;;00;C01;ANDALUCES;8157.0;A
2016;;;00;C02;ANDALUCES;1332.0;A
2016;;;00;66;ANDALUCES;12040.0;A
2016;;;00;NC000;ANDALUCES;3.0;A
2016;;;00;00;ANDALUCES;21532.0;A
2016;;;01;04;ANDALUCES;358.0;A
2016;;;01;11;ANDALUCES;747.0;A
2016;;;01;14;ANDALUCES;346.0;A
2016;;;01;18;ANDALUCES;642.0;A
2016;;;01;21;ANDALUCES;192.0;A
2016;;;01;23;ANDALUCES;278.0;A
2016;;;01;29;ANDALUCES;852.0;A
2016;;;01;41;ANDALUCES;923.0;A
2016;;;01;C01;ANDALUCES;4338.0;A
2016;;;01;C02;ANDALUCES;739.0;A
2016;;;01;66;ANDALUCES;5977.0;A
2016;;;01;NC000;ANDALUCES;2.0;A
2016;;;01;00;ANDALUCES;11056.0;A
2016;;;06;04;ANDALUCES;295.0;A
2016;;;06;11;ANDALUCES;624.0;A
2016;;;06;14;ANDALUCES;309.0;A
2016;;;06;18;ANDALUCES;535.0;A
2016;;;06;21;ANDALUCES;155.0;A
2016;;;06;23;ANDALUCES;260.0;A
2016;;;06;29;ANDALUCES;828.0;A
2016;;;06;41;ANDALUCES;813.0;A
2016;;;06;C01;ANDALUCES;3819.0;A
2016;;;06;C02;ANDALUCES;593.0;A
2016;;;06;66;ANDALUCES;6063.0;A
2016;;;06;NC000;ANDALUCES;1.0;A
2016;;;06;00;ANDALUCES;10476.0;A
2016;C02;;00;04;ANDALUCES;115.0;A
2016;C02;;00;11;ANDALUCES;251.0;A
2016;C02;;00;14;ANDALUCES;163.0;A
2016;C02;;00;18;ANDALUCES;219.0;A
2016;C02;;00;21;ANDALUCES;49.0;A
2016;C02;;00;23;ANDALUCES;159.0;A
2016;C02;;00;29;ANDALUCES;179.0;A
2016;C02;;00;41;ANDALUCES;235.0;A
2016;C02;;00;C01;ANDALUCES;1370.0;A
2016;C02;;00;00;ANDALUCES;1370.0;A
2016;C02;;01;04;ANDALUCES;65.0;A
2016;C02;;01;11;ANDALUCES;130.0;A
2016;C02;;01;14;ANDALUCES;102.0;A
2016;C02;;01;18;ANDALUCES;125.0;A
2016;C02;;01;21;ANDALUCES;27.0;A
2016;C02;;01;23;ANDALUCES;94.0;A
2016;C02;;01;29;ANDALUCES;93.0;A
2016;C02;;01;41;ANDALUCES;145.0;A
2016;C02;;01;C01;ANDALUCES;781.0;A
2016;C02;;01;00;ANDALUCES;781.0;A
2016;C02;;06;04;ANDALUCES;50.0;A
2016;C02;;06;11;ANDALUCES;121.0;A
2016;C02;;06;14;ANDALUCES;61.0;A
2016;C02;;06;18;ANDALUCES;94.0;A
2016;C02;;06;21;ANDALUCES;22.0;A
2016;C02;;06;23;ANDALUCES;65.0;A
2016;C02;;06;29;ANDALUCES;86.0;A
2016;C02;;06;41;ANDALUCES;90.0;A
2016;C02;;06;C01;ANDALUCES;589.0;A
2016;C02;;06;00;ANDALUCES;589.0;A
2016;00;;00;04;ANDALUCES;768.0;A
2016;00;;00;11;ANDALUCES;1622.0;A
2016;00;;00;14;ANDALUCES;818.0;A
2016;00;;00;18;ANDALUCES;1396.0;A
2016;00;;00;21;ANDALUCES;396.0;A
2016;00;;00;23;ANDALUCES;697.0;A
2016;00;;00;29;ANDALUCES;1859.0;A
2016;00;;00;41;ANDALUCES;1971.0;A
2016;00;;00;C01;ANDALUCES;9527.0;A
2016;00;;00;C02;ANDALUCES;1332.0;A
2016;00;;00;66;ANDALUCES;12040.0;A
2016;00;;00;NC000;ANDALUCES;3.0;A
2016;00;;00;00;ANDALUCES;22902.0;A
2016;00;;01;04;ANDALUCES;423.0;A
2016;00;;01;11;ANDALUCES;877.0;A
2016;00;;01;14;ANDALUCES;448.0;A
2016;00;;01;18;ANDALUCES;767.0;A
2016;00;;01;21;ANDALUCES;219.0;A
2016;00;;01;23;ANDALUCES;372.0;A
2016;00;;01;29;ANDALUCES;945.0;A
2016;00;;01;41;ANDALUCES;1068.0;A
2016;00;;01;C01;ANDALUCES;5119.0;A
2016;00;;01;C02;ANDALUCES;739.0;A
2016;00;;01;66;ANDALUCES;5977.0;A
2016;00;;01;NC000;ANDALUCES;2.0;A
2016;00;;01;00;ANDALUCES;11837.0;A
2016;00;;06;04;ANDALUCES;345.0;A
2016;00;;06;11;ANDALUCES;745.0;A
2016;00;;06;14;ANDALUCES;370.0;A
2016;00;;06;18;ANDALUCES;629.0;A
2016;00;;06;21;ANDALUCES;177.0;A
2016;00;;06;23;ANDALUCES;325.0;A
2016;00;;06;29;ANDALUCES;914.0;A
2016;00;;06;41;ANDALUCES;903.0;A
2016;00;;06;C01;ANDALUCES;4408.0;A
2016;00;;06;C02;ANDALUCES;593.0;A
2016;00;;06;66;ANDALUCES;6063.0;A
2016;00;;06;NC000;ANDALUCES;1.0;A
2016;00;;06;00;ANDALUCES;11065.0;A
2017;04;;00;04;ANDALUCES;578.0;A
2017;04;;00;11;ANDALUCES;4.0;A
2017;04;;00;14;ANDALUCES;3.0;A
2017;04;;00;18;ANDALUCES;27.0;A
2017;04;;00;23;ANDALUCES;9.0;A
2017;04;;00;29;ANDALUCES;4.0;A
2017;04;;00;41;ANDALUCES;1.0;A
2017;04;;00;C01;ANDALUCES;626.0;A
2017;04;;00;C02;ANDALUCES;90.0;A
2017;04;;00;66;ANDALUCES;1831.0;A
2017;04;;00;NC000;ANDALUCES;1.0;A
2017;04;;00;00;ANDALUCES;2548.0;A
2017;04;;01;04;ANDALUCES;294.0;A
2017;04;;01;11;ANDALUCES;1.0;A
2017;04;;01;14;ANDALUCES;1.0;A
2017;04;;01;18;ANDALUCES;18.0;A
2017;04;;01;23;ANDALUCES;4.0;A
2017;04;;01;29;ANDALUCES;4.0;A
2017;04;;01;C01;ANDALUCES;322.0;A
2017;04;;01;C02;ANDALUCES;45.0;A
2017;04;;01;66;ANDALUCES;881.0;A
2017;04;;01;NC000;ANDALUCES;1.0;A
2017;04;;01;00;ANDALUCES;1249.0;A
2017;04;;06;04;ANDALUCES;284.0;A
2017;04;;06;11;ANDALUCES;3.0;A
2017;04;;06;14;ANDALUCES;2.0;A
2017;04;;06;18;ANDALUCES;9.0;A
2017;04;;06;23;ANDALUCES;5.0;A
2017;04;;06;41;ANDALUCES;1.0;A
2017;04;;06;C01;ANDALUCES;304.0;A
2017;04;;06;C02;ANDALUCES;45.0;A
2017;04;;06;66;ANDALUCES;950.0;A
2017;04;;06;00;ANDALUCES;1299.0;A
2017;11;;00;04;ANDALUCES;1.0;A
2017;11;;00;11;ANDALUCES;1152.0;A
2017;11;;00;14;ANDALUCES;13.0;A
2017;11;;00;18;ANDALUCES;7.0;A
2017;11;;00;21;ANDALUCES;3.0;A
2017;11;;00;23;ANDALUCES;4.0;A
2017;11;;00;29;ANDALUCES;15.0;A
2017;11;;00;41;ANDALUCES;38.0;A
2017;11;;00;C01;ANDALUCES;1233.0;A
2017;11;;00;C02;ANDALUCES;186.0;A
2017;11;;00;66;ANDALUCES;916.0;A
2017;11;;00;00;ANDALUCES;2335.0;A
2017;11;;01;11;ANDALUCES;574.0;A
2017;11;;01;14;ANDALUCES;8.0;A
2017;11;;01;18;ANDALUCES;4.0;A
2017;11;;01;21;ANDALUCES;3.0;A
2017;11;;01;23;ANDALUCES;2.0;A
2017;11;;01;29;ANDALUCES;9.0;A
2017;11;;01;41;ANDALUCES;17.0;A
2017;11;;01;C01;ANDALUCES;617.0;A
2017;11;;01;C02;ANDALUCES;110.0;A
2017;11;;01;66;ANDALUCES;461.0;A
2017;11;;01;00;ANDALUCES;1188.0;A
2017;11;;06;04;ANDALUCES;1.0;A
2017;11;;06;11;ANDALUCES;578.0;A
2017;11;;06;14;ANDALUCES;5.0;A
2017;11;;06;18;ANDALUCES;3.0;A
2017;11;;06;23;ANDALUCES;2.0;A
2017;11;;06;29;ANDALUCES;6.0;A
2017;11;;06;41;ANDALUCES;21.0;A
2017;11;;06;C01;ANDALUCES;616.0;A
2017;11;;06;C02;ANDALUCES;76.0;A
2017;11;;06;66;ANDALUCES;455.0;A
2017;11;;06;00;ANDALUCES;1147.0;A
2017;14;;00;04;ANDALUCES;2.0;A
2017;14;;00;11;ANDALUCES;8.0;A
2017;14;;00;14;ANDALUCES;604.0;A
2017;14;;00;18;ANDALUCES;2.0;A
2017;14;;00;21;ANDALUCES;2.0;A
2017;14;;00;23;ANDALUCES;9.0;A
2017;14;;00;29;ANDALUCES;2.0;A
2017;14;;00;41;ANDALUCES;10.0;A
2017;14;;00;C01;ANDALUCES;639.0;A
2017;14;;00;C02;ANDALUCES;63.0;A
2017;14;;00;66;ANDALUCES;574.0;A
2017;14;;00;00;ANDALUCES;1276.0;A
2017;14;;01;04;ANDALUCES;1.0;A
2017;14;;01;11;ANDALUCES;5.0;A
2017;14;;01;14;ANDALUCES;305.0;A
2017;14;;01;18;ANDALUCES;2.0;A
2017;14;;01;21;ANDALUCES;2.0;A
2017;14;;01;23;ANDALUCES;6.0;A
2017;14;;01;41;ANDALUCES;5.0;A
2017;14;;01;C01;ANDALUCES;326.0;A
2017;14;;01;C02;ANDALUCES;25.0;A
2017;14;;01;66;ANDALUCES;283.0;A
2017;14;;01;00;ANDALUCES;634.0;A
2017;14;;06;04;ANDALUCES;1.0;A
2017;14;;06;11;ANDALUCES;3.0;A
2017;14;;06;14;ANDALUCES;299.0;A
2017;14;;06;23;ANDALUCES;3.0;A
2017;14;;06;29;ANDALUCES;2.0;A
2017;14;;06;41;ANDALUCES;5.0;A
2017;14;;06;C01;ANDALUCES;313.0;A
2017;14;;06;C02;ANDALUCES;38.0;A
2017;14;;06;66;ANDALUCES;291.0;A
2017;14;;06;00;ANDALUCES;642.0;A
2017;18;;00;04;ANDALUCES;8.0;A
2017;18;;00;11;ANDALUCES;12.0;A
2017;18;;00;14;ANDALUCES;15.0;A
2017;18;;00;18;ANDALUCES;911.0;A
2017;18;;00;21;ANDALUCES;5.0;A
2017;18;;00;23;ANDALUCES;26.0;A
2017;18;;00;29;ANDALUCES;20.0;A
2017;18;;00;41;ANDALUCES;6.0;A
2017;18;;00;C01;ANDALUCES;1003.0;A
2017;18;;00;C02;ANDALUCES;161.0;A
2017;18;;00;66;ANDALUCES;1903.0;A
2017;18;;00;00;ANDALUCES;3067.0;A
2017;18;;01;04;ANDALUCES;5.0;A
2017;18;;01;11;ANDALUCES;8.0;A
2017;18;;01;14;ANDALUCES;10.0;A
2017;18;;01;18;ANDALUCES;453.0;A
2017;18;;01;21;ANDALUCES;2.0;A
2017;18;;01;23;ANDALUCES;12.0;A
2017;18;;01;29;ANDALUCES;5.0;A
2017;18;;01;41;ANDALUCES;2.0;A
2017;18;;01;C01;ANDALUCES;497.0;A
2017;18;;01;C02;ANDALUCES;94.0;A
2017;18;;01;66;ANDALUCES;905.0;A
2017;18;;01;00;ANDALUCES;1496.0;A
2017;18;;06;04;ANDALUCES;3.0;A
2017;18;;06;11;ANDALUCES;4.0;A
2017;18;;06;14;ANDALUCES;5.0;A
2017;18;;06;18;ANDALUCES;458.0;A
2017;18;;06;21;ANDALUCES;3.0;A
2017;18;;06;23;ANDALUCES;14.0;A
2017;18;;06;29;ANDALUCES;15.0;A
2017;18;;06;41;ANDALUCES;4.0;A
2017;18;;06;C01;ANDALUCES;506.0;A
2017;18;;06;C02;ANDALUCES;67.0;A
2017;18;;06;66;ANDALUCES;998.0;A
2017;18;;06;00;ANDALUCES;1571.0;A
2017;21;;00;11;ANDALUCES;1.0;A
2017;21;;00;14;ANDALUCES;5.0;A
2017;21;;00;18;ANDALUCES;2.0;A
